Title,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,Source Title,Keywords,License,Local ID,Meeting Date,Mesh_Terms,Online Date,PDF Link,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Source Title,Start Page,Type,URL,Unnamed: 12,Volume,Volume.1,Year,acronym,booktitle,cluster_id,conf_loc,description,edition,issue_date,issue_no,key,month,num_pages,num_versions,number,pages,pdf_url,publisher_loc,url_citation,url_citations,venue
Increasing Retrieval Quality in Conversational Recommenders,"A major task of research in conversational recommender systems is personalization. Critiquing is a common and powerful form of feedback, where a user can express her feature preferences by applying a series of directional critiques over the recommendations instead of providing specific preference values. Incremental Critiquing (IC) is a conversational recommender system that uses critiquing as a feedback to efficiently personalize products. The expectation is that in each cycle the system retrieves the products that best satisfy the user's soft product preferences from a minimal information input. In this paper, we present a novel technique that increases retrieval quality based on a combination of compatibility and similarity scores. Under the hypothesis that a user learns during the recommendation process, we propose two novel exponential Reinforcement Learning (RL) approaches for compatibility that take into account both the instant at which the user makes a critique and the number of satisfied critiques. Moreover, we consider that the impact of features on the similarity differs according to the preferences manifested by the user. We propose a Global Weighting (GW) approach that uses a common weight for nearest cases in order to focus on groups of relevant products. We show that our methodology significantly improves recommendation efficiency in four data sets of different sizes in terms of session length in comparison with state-of-the-art approaches. Moreover, our recommender shows higher robustness against noisy user data when compared to classical approaches.",,,,"Universitat de Barcelona, Barcelona",M. S. Llorente; S. E. Guerrero,,3,,10.1109/TKDE.2011.116,IEEE Xplore,1,,20120817,1888,,Cognition;Current measurement;Learning systems;Monte Carlo methods;Recommender systems;Space exploration,,,,1041-4347;10414347,10,Oct. 2012,,IEEE Transactions on Knowledge and Data Engineering,Conversational recommender systems;case-based reasoning;critiquing elicitation;personalization.,,,,,20110609,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871618,,,,,,IEEE,38,,,,IEEE Transactions on Knowledge and Data Engineering,1876,IEEE Journals & Magazines,,,24,,2012,,,,,,,,,,,,,,,,,,,
Anti-lock braking systems data-driven control using Q-learning,"A model-free tire slip control solution for a fast, highly nonlinear Anti-lock Braking System (ABS) is proposed in this work via a reinforcement Q-learning optimal control approach. The solution is tailored around a batch neural fitted scheme using two neural networks to approximate the value function and the controller, respectively. The transition samples are collected from the process through interaction by online exploiting the current iteration controller (or policy) under an ε-greedy exploration strategy. The ABS process fits this type of learning-by-interaction since it does not need an initial stabilizing controller. The validation case studies carried out on a real laboratory setup reveal that high control system performance can be achieved after several tens of interaction episodes with the controlled process. Insightful comments on the observed control behavior in a set of real-time experiments are offered along with performance comparisons with several other controllers.",,,,"Department of Automation and Applied Informatics, Politehnica University of Timisoara, Timisoara, Romania",M. B. Radac; R. E. Precup; R. C. Roman,,,,10.1109/ISIE.2017.8001283,IEEE Xplore,1,,20170807,423,,,automotive components;braking;greedy algorithms;learning (artificial intelligence);motion control;neurocontrollers;optimal control,ε-greedy exploration strategy;anti-lock braking system;batch neural fitted scheme;data-driven control;iteration controller;learning-by-interaction;model-free tire slip control;neural networks;nonlinear ABS;optimal control;reinforcement Q-learning;value function,,,,19-21 June 2017,,2017 IEEE 26th International Symposium on Industrial Electronics (ISIE),Actor critic control;Anti-lock Braking System;Q-learning;model-free control;neural networks,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8001283,,,,,,IEEE,,,Electronic:978-1-5090-1412-5; POD:978-1-5090-1413-2,,2017 IEEE 26th International Symposium on Industrial Electronics (ISIE),418,IEEE Conferences,,,,,2017,,,,,,,,,,,,,,,,,,,
A learning multi-agent system for personalized information filtering,"A multi-agent hybrid learning approach to the problem of personalized information filtering is proposed in this paper. There are four agents in the multi-agent model. The problem is modeled as Monte Carlo reinforcement learning. Our proposed algorithm is modified Monte Carlo method combined with features of unsupervised suffix tree clustering and supervised backpropagation network. We argue that this proposed approach could precisely capture the user's interest without repeatedly asking for his/her explicit rates and converge to the user's interest quickly. A conclusion is drawn that our approach is efficient, precise and converges more quickly compared with existing approaches. A prototype system is being developed.",,,,"Sch. of Electr. & Electron. Eng., Nanyang Technol. Univ., Singapore, Singapore",Junhua Chen; Zhonghua Yang,,1,,10.1109/ICICS.2003.1292790,IEEE Xplore,1,,20040504,1868 vol.3,,Backpropagation algorithms;Clustering algorithms;Contacts;Information filtering;Information filters;Information retrieval;Monte Carlo methods;Multiagent systems;Search engines;Supervised learning,Internet;Monte Carlo methods;backpropagation;information filters;multi-agent systems,Monte Carlo reinforcement learning;backpropagation network;learning multiagent system;personalized information filtering;suffix tree clustering,,,,15-18 Dec. 2003,,"Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint",,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292790,,,,,,IEEE,9,,POD:0-7803-8185-8,,"Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint",1864,IEEE Conferences,,,3,,2003,,,,,,,,,,,,,,,,,,,
A distributed reinforcement learning approach to maximize resource utilization and control handover dropping in multimedia wireless networks,"A new scheme to maximize resource utilization in a cellular network while respecting constraints on handover dropping probability is proposed and analyzed. The constraints are set for each traffic class separately and have to be respected by the network independently of the area in a localized manner. The problem is formulated as a Markov Decision Process (MDP) and solved by making use of the model-free simulation-based Q-learning algorithm that runs at each cell. Integration of the handover limit in the model is achieved by observing which of the new call arrivals, at a particular state of the system, are mostly responsible for violation of the handover dropping limit. Through trial and error, the algorithm proceeds to the statistical elimination of new admissions in the system, those causing excessive dropping. Results obtained via the proposed Reinforcement Learning (RL) based approach are compared with a resource allocation that takes into consideration heterogeneous and unevenly distributed traffic over the geographical area under consideration. For the scenarios examined, comparable results and performance are observed with an advantage for RL in blocking and utilization.",,,,"Motorola Labs, Gif-sur-Yvette, France",E. Alexandri; G. Martinez; D. Zeghlache,,3,,10.1109/PIMRC.2002.1046544,IEEE Xplore,1,,20021210,2253 vol.5,,Bandwidth;Communication system traffic control;Intelligent networks;Land mobile radio cellular systems;Learning;Quality of service;Resource management;Telecommunication traffic;Traffic control;Wireless networks,Markov processes;cellular radio;learning (artificial intelligence);multimedia communication;probability,Markov decision process;call arrivals;cellular network;distributed reinforcement learning approach;handover dropping;handover dropping probability;handover limit;model-free simulation-based Q-learning algorithm;multimedia wireless networks;resource utilization;statistical elimination;traffic class;unevenly distributed traffic,,,,15-18 Sept. 2002,,"The 13th IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1046544,,,,,,IEEE,4,,POD:0-7803-7589-0,,"The 13th IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",2249,IEEE Conferences,,,5,,2002,,,,,,,,,,,,,,,,,,,
An Actor-Critic based controller for glucose regulation in type 1 diabetes,"A novel adaptive approach for glucose control in individuals with type 1 diabetes under sensor-augmented pump therapy is proposed. The controller, is based on Actor-Critic (AC) learning and is inspired by the principles of reinforcement learning and optimal control theory. The main characteristics of the proposed controller are (i) simultaneous adjustment of both the insulin basal rate and the bolus dose, (ii) initialization based on clinical procedures, and (iii) real-time personalization. The effectiveness of the proposed algorithm in terms of glycemic control has been investigated in silico in adults, adolescents and children under open-loop and closed-loop approaches, using announced meals with uncertainties in the order of ±25% in the estimation of carbohydrates.The results show that glucose regulation is efficient in all three groups of patients, even with uncertainties in the level of carbohydrates in the meal. The percentages in the A. +. B zones of the Control Variability Grid Analysis (CVGA) were 100% for adults, and 93% for both adolescents and children.The AC based controller seems to be a promising approach for the automatic adjustment of insulin infusion in order to improve glycemic control. After optimization of the algorithm, the controller will be tested in a clinical trial. © 2012 Elsevier Ireland Ltd.",,"ARTORG Center for Biomedical Engineering Research, Diabetes Technology Research Group, University of Bern, Murtenstrasse 50, 3010 Bern, Switzerland; Division of Endocrinology, Diabetes and Clinical Nutrition, University Hospital, Inselspital, University of Bern, 3010 Bern, Switzerland",,,"Daskalaki E., Diem P., Mougiakakou S.G.","Daskalaki, E., ARTORG Center for Biomedical Engineering Research, Diabetes Technology Research Group, University of Bern, Murtenstrasse 50, 3010 Bern, Switzerland; Diem, P., Division of Endocrinology, Diabetes and Clinical Nutrition, University Hospital, Inselspital, University of Bern, 3010 Bern, Switzerland; Mougiakakou, S.G., ARTORG Center for Biomedical Engineering Research, Diabetes Technology Research Group, University of Bern, Murtenstrasse 50, 3010 Bern, Switzerland",6,,10.1016/j.cmpb.2012.03.002,SCOPUS,1,,,,,,,,,,2,,,Computer Methods and Programs in Biomedicine,Actor-Critic; Closed-loop control; Glucose control; Reinforcement learning,,2-s2.0-84873458229,,,,,,125,116,,,,,Scopus,,,Computer Methods and Programs in Biomedicine,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873458229&doi=10.1016%2fj.cmpb.2012.03.002&partnerID=40&md5=9fd626af8395921d3a16e711438dc11d,,109,,2013,,,,,,,,,,,,,,,,,,,
A Reinforcement Learning Approach to Emotion-based Automatic Playlist Generation,"A novel trend emerged in music exploration is to organize and search songs according to their emotions. However, research on automatic playlist generation (APG) primarily focuses on metadata and audio similarity. Mainstream solutions view APG as a static problem. This paper argues that the APG problem is better modeled as a continuous optimization problem, and proposes an adaptive preference model for personalized APG based on emotions. The main idea is to collect a user's behavior in music playing, e.g., rating, skipping and replaying, as immediate feedback in learning the user's preferences for music emotion within a playlist. Reinforcement learning is adopted to learn the user's current preferences, which are used to generate personalized playlists. Learning parameters are tuned by simulation of two hypothetical users. A two-month user study is conducted to evaluate the APG solutions. The results show that the proposed approach reduces the Miss Ratio by 10% in comparison with the baseline approach.",,,,"Dept. of CSIE, Nat. Taiwan Univ., Taipei, Taiwan",C. Y. Chi; R. T. H. Tsai; J. Y. Lai; J. Y. j. Hsu,,1,,10.1109/TAAI.2010.21,IEEE Xplore,1,,20110120,65,,,learning (artificial intelligence);music;optimisation;user interfaces,adaptive preference model;continuous optimization problem;emotion-based automatic playlist generation;music emotion;reinforcement learning;user preference,,2376-6816;23766816,,18-20 Nov. 2010,,2010 International Conference on Technologies and Applications of Artificial Intelligence,automatic playlist generation;reinforcement learning;song emotion,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5695433,,,,,,IEEE,20,,Electronic:978-0-7695-4253-9; POD:978-1-4244-8668-7,,2010 International Conference on Technologies and Applications of Artificial Intelligence,60,IEEE Conferences,,,,,2010,,,,,,,,,,,,,,,,,,,
A Q-learning-based multi-rate transmission control scheme for RRC in WCDMA systems,"A Q-learning-based multirate transmission control scheme (Q-MRTC) for radio resource control (RRC) in WCDMA systems is proposed. The RRC problem is modelled as a semi-Markov decision process (SMDP). We successfully apply a real-time reinforcement learning algorithm, named Q-learning, to accurately estimate the transmission cost for the multi-rate transmission control. For the cost function approximation, we apply the feature extraction method to map the original state space into a more compact set which represents the resultant interference profile. Simulation results show that the Q-MRTC can achieve higher system throughput and better users' satisfaction index, by an amount of 87% and 50%, respectively, than the interference-based multi-rate transmission control scheme, while keeping the QoS requirement.",,,,,Fang-Ching Ren; Chung-Ju Chang; Yih-Shen Chen,,0,,10.1109/PIMRC.2002.1045263,IEEE Xplore,1,,20021210,1426 vol.3,,Control systems;Cost function;Feature extraction;Function approximation;Interference;Learning;Multiaccess communication;Radio control;State-space methods;Throughput,Markov processes;broadband networks;code division multiple access;costing;feature extraction;function approximation;learning (artificial intelligence);multiuser channels;radio networks;radiofrequency interference;telecommunication control,Q-learning-based multirate transmission control;QoS;RRC;WCDMA systems;feature extraction method;function approximation;interference profile;real-time reinforcement learning algorithm;semi-Markov decision process;simulation results;state space mapping;system throughput;transmission cost estimation;users satisfaction index,,,,15-18 Sept. 2002,,"The 13th IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1045263,,,,,,IEEE,12,,POD:0-7803-7589-0,,"The 13th IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",1422,IEEE Conferences,,,3,,2002,,,,,,,,,,,,,,,,,,,
Reinforcement learning utilizes proxemics: An avatar learns to manipulate the position of people in immersive virtual reality,"A reinforcement learning (RL) method was used to train a virtual character to move participants to a specified location. The virtual environment depicted an alleyway displayed through a wide field-of-view head-tracked stereo head-mounted display. Based on proxemics theory, we predicted that when the character approached within a personal or intimate distance to the participants, they would be inclined to move backwards out of the way. We carried out a between-groups experiment with 30 female participants, with 10 assigned arbitrarily to each of the following three groups: In the Intimate condition the character could approach within 0.38m and in the Social condition no nearer than 1.2m. In the Random condition the actions of the virtual character were chosen randomly from among the same set as in the RL method, and the virtual character could approach within 0.38m. The experiment continued in each case until the participant either reached the target or 7 minutes had elapsed. The distributions of the times taken to reach the target showed significant differences between the three groups, with 9 out of 10 in the Intimate condition reaching the target significantly faster than the 6 out of 10 who reached the target in the Social condition. Only 1 out of 10 in the Random condition reached the target. The experiment is an example of applied presence theory: we rely on the many findings that people tend to respond realistically in immersive virtual environments, and use this to get people to achieve a task of which they had been unaware. This method opens up the door for many such applications where the virtual environment adapts to the responses of the human participants with the aim of achieving particular goals. © 2012 ACM 1544-3558/2012/03- ART3 ©10.00.",,"University College London, United Kingdom; Facultat de Psicologia, Campus de Mundet - Edifici Teatre, Universitat de Barcelona, Passeig de la Vall d'Hebron 171, 08035 Barcelona, Spain; Facultat de Psicologia, Campus de Mundet - Edifici Teatre, ICREA-Universitat de Barcelona, Passeig de la Vall d'Hebron 171, 08035 Barcelona, Spain",3,,"Kastanis I., Slater M.","Kastanis, I., Facultat de Psicologia, Campus de Mundet - Edifici Teatre, Universitat de Barcelona, Passeig de la Vall d'Hebron 171, 08035 Barcelona, Spain; Slater, M., University College London, United Kingdom, Facultat de Psicologia, Campus de Mundet - Edifici Teatre, ICREA-Universitat de Barcelona, Passeig de la Vall d'Hebron 171, 08035 Barcelona, Spain",5,,10.1145/2134203.2134206,SCOPUS,1,,,,,,,,,,1,,,ACM Transactions on Applied Perception,Experimentation; Human Factors,,2-s2.0-84859474974,,,,,,,,,,,,Scopus,,,ACM Transactions on Applied Perception,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859474974&doi=10.1145%2f2134203.2134206&partnerID=40&md5=83e08cb9da9427c493cfb59a2296e9f2,,9,,2012,,,,,,,,,,,,,,,,,,,
Design considerations of reinforcement learning power controllers in Wireless Body Area Networks,"A Wireless Body Area Network (WBAN) comprises a number of tiny devices implanted in/on the body that sample physiological signals of the human body and send them to a coordinator node for medical or other purposes. As these miniature devices run on built-in batteries, energy is the most valuable resource in WBANs. This makes signal interference between neighboring WBANs a serious threat because it causes energy waste in these systems. To mitigate this internetwork interference, we propose a dynamic power control mechanism in WBANs which employs reinforcement learning (RL) to learn from experience and improve its performance. This paper presents guidelines in designing efficient RL power controllers in WBANs and provides an analysis of the effect of the reward function, discount factor, learning rate and eligibility trace parameter where the main performance criteria used are convergence and solution optimality in terms of throughput and energy consumption per bit.",,,,"Department of Engineering, Macquarie University, Sydney, Australia",R. Kazemi; R. Vesilo; E. Dutkiewicz; R. P. Liu,,1,,10.1109/PIMRC.2012.6362688,IEEE Xplore,1,,20121129,2036,,Convergence;Energy consumption;Games;Interference;Power control;Signal to noise ratio;Wireless communication,biomedical communication;body area networks;control engineering computing;control system synthesis;interference suppression;learning (artificial intelligence);medical computing;medical control systems;power control;prosthetics,RL;WBAN;eligibility trace parameter;energy consumption;energy waste;human body implantation;internetwork interference mitigation;medical coordinator node;physiological signal;power control mechanism;reinforcement learning;signal interference;wireless body area network,,2166-9570;21669570,,9-12 Sept. 2012,,"2012 IEEE 23rd International Symposium on Personal, Indoor and Mobile Radio Communications - (PIMRC)",Game;Interference;Power Control;Reinforcement Learning;WBAN;convergence;multi agent;optimality,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6362688,,,,,,IEEE,14,,Electronic:978-1-4673-2569-1; POD:978-1-4673-2566-0; USB:978-1-4673-2568-4,,"2012 IEEE 23rd International Symposium on Personal, Indoor and Mobile Radio Communications - (PIMRC)",2030,IEEE Conferences,,,,,2012,,,,,,,,,,,,,,,,,,,
Dynamic power control in Wireless Body Area Networks using reinforcement learning with approximation,"A Wireless Body Area Network (WBAN) is made up of multiple tiny physiological sensors implanted in/on the human body with each sensor equipped with a wireless transceiver that communicates to a coordinator in a star topology. Energy is the scarcest resource in WBANs. Power control mechanisms to achieve a certain level of utility while using as little power for transmission as possible can play an important role in reducing energy consumption in such very energy-constrained networks. In this paper, we propose a novel power controller to mitigate internetwork interference in WBANs and increase the maximum achievable throughput with the minimum energy consumption. The proposed power controller employs reinforcement learning with approximation to learn from the environment and improve its performance. We compare the performance of the proposed controller to two other power controllers, one based on game theory and the other one based on fuzzy logic. Simulation results show that compared to the other two approaches, RLPC provides a substantial saving in energy consumption per bit, with a substantial increase in network lifetime.",,,,"Department of Electronic Engineering, Macquarie University, Sydney, Australia",R. Kazemi; R. Vesilo; E. Dutkiewicz; Ren Liu,,6,,10.1109/PIMRC.2011.6139908,IEEE Xplore,1,,20120126,2208,,Approximation methods;Energy consumption;Interference;Power control;Sensors;Throughput;Wireless sensor networks,approximation theory;body area networks;control engineering computing;fuzzy control;game theory;interference suppression;learning (artificial intelligence);power control;radio transceivers;telecommunication control;telecommunication network reliability,WBAN;approximation;dynamic power control;energy consumption reduction;energy-constrained networks;fuzzy logic;game theory;interference mitigation;network lifetime;physiological sensors;reinforcement learning;wireless body area networks;wireless transceiver,,2166-9570;21669570,,11-14 Sept. 2011,,"2011 IEEE 22nd International Symposium on Personal, Indoor and Mobile Radio Communications",Dynamic Power Control;Fuzzy Logic;Game Theory;Interference;Reinforcement Learning;WBAN,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6139908,,,,,,IEEE,17,,Electronic:978-1-4577-1348-4; POD:978-1-4577-1346-0; USB:978-1-4577-1347-7,,"2011 IEEE 22nd International Symposium on Personal, Indoor and Mobile Radio Communications",2203,IEEE Conferences,,,,,2011,,,,,,,,,,,,,,,,,,,
"Reward Processing, Neuroeconomics, and Psychopathology","Abnormal reward processing is a prominent transdiagnostic feature of psychopathology. The present review provides a framework for considering the different aspects of reward processing and their assessment, and highlights recent insights from the field of neuroeconomics that may aid in understanding these processes. Although altered reward processing in psychopathology has often been treated as a general hypo- or hyperresponsivity to reward, increasing data indicate that a comprehensive understanding of reward dysfunction requires characterization within more specific reward-processing domains, including subjective valuation, discounting, hedonics, reward anticipation and facilitation, and reinforcement learning. As such, more nuanced models of the nature of these abnormalities are needed. We describe several processing abnormalities capable of producing the types of selective alterations in reward-related behavior observed in different forms of psychopathology, including (mal)adaptive scaling and anchoring, dysfunctional weighting of reward and cost variables, competition between valuation systems, and reward prediction error signaling. © 2017 by Annual Reviews. All rights reserved.",,"Department of Psychology, Department of Psychiatry, Vanderbilt University, Nashville, TN, United States; Department of Psychology, Emory University, Atlanta, GA, United States",,,"Zald D.H., Treadway M.T.","Zald, D.H., Department of Psychology, Department of Psychiatry, Vanderbilt University, Nashville, TN, United States; Treadway, M.T., Department of Psychology, Emory University, Atlanta, GA, United States",2,,10.1146/annurev-clinpsy-032816-044957,SCOPUS,1,,,,,,,,,,,,,Annual Review of Clinical Psychology,Addiction; Anhedonia; Computational psychiatry; Dopamine; Major depression; Prediction error,,2-s2.0-85019122756,,,,,,495,471,,,,,Scopus,,,Annual Review of Clinical Psychology,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019122756&doi=10.1146%2fannurev-clinpsy-032816-044957&partnerID=40&md5=a8b5422deb2aa507c9408e66bf128fa2,,13,,2017,,,,,,,,,,,,,,,,,,,
